"Source","Target"
"918441206341922816","990188693532106752"
"918441206341922816","917848824265273344"
"918441206341922816","1599531230"
"918441206341922816","1121349820747264000"
"918441206341922816","1087011656545288192"
"918441206341922816","717100033359917056"
"918441206341922816","319756723"
"918441206341922816","338382427"
"918441206341922816","1100818291533250560"
"918441206341922816","1007699669902819328"
"918441206341922816","21694393"
"918441206341922816","1090270096948248576"
"918441206341922816","4172438891"
"918441206341922816","928170791660867584"
"918441206341922816","1047871869632823296"
"918441206341922816","1074580083594199040"
"918441206341922816","859868908693712900"
"918441206341922816","95599164"
"918441206341922816","493417324"
"918441206341922816","482878437"
"918441206341922816","39229758"
"918441206341922816","485805144"
"918441206341922816","1090919392840503296"
"918441206341922816","261860968"
"918441206341922816","12786782"
"918441206341922816","2767167707"
"918441206341922816","1084447838011043840"
"918441206341922816","4008475287"
"918441206341922816","1031866374061281280"
"918441206341922816","1225440649"
"918441206341922816","507131778"
"918441206341922816","120521019"
"918441206341922816","2610041641"
"918441206341922816","92795265"
"918441206341922816","112184058"
"918441206341922816","963929291275857921"
"918441206341922816","913318118998585345"
"918441206341922816","1001478911274967040"
"918441206341922816","3429597647"
"918441206341922816","880359954582036483"
"918441206341922816","830860950362263553"
"918441206341922816","1051009358627307520"
"918441206341922816","48511621"
"918441206341922816","1066326975344721920"
"918441206341922816","116161549"
"918441206341922816","1623789913"
"918441206341922816","746041024733155328"
"918441206341922816","116519514"
"918441206341922816","3688524028"
"918441206341922816","1045047389692801024"
"918441206341922816","128372940"
"918441206341922816","3168973737"
"918441206341922816","175338882"
"918441206341922816","947099915578171393"
"918441206341922816","1551499404"
"918441206341922816","26110930"
"918441206341922816","1344485720"
"918441206341922816","545406923"
"918441206341922816","1027492073216389120"
"918441206341922816","1014881272416620544"
"918441206341922816","59591873"
"918441206341922816","1156774764"
"918441206341922816","846780693275426821"
"918441206341922816","989520005489455104"
"918441206341922816","1009368668579516416"
"918441206341922816","366628598"
"918441206341922816","954721776046673920"
"918441206341922816","999578121123848192"
"918441206341922816","455378815"
"918441206341922816","1883105334"
"918441206341922816","484872080"
"918441206341922816","128698096"
"918441206341922816","769948286883094528"
"918441206341922816","2589073834"
"918441206341922816","765849247262633984"
"918441206341922816","789179329854869507"
"918441206341922816","2428614463"
"918441206341922816","893984169570828288"
"918441206341922816","164070785"
"918441206341922816","274316654"
"918441206341922816","406615760"
"918441206341922816","747754209664172032"
"918441206341922816","1547756276"
"918441206341922816","967822489056415745"
"918441206341922816","461585304"
"918441206341922816","313122068"
"918441206341922816","302756671"
"918441206341922816","979702562701086720"
"918441206341922816","883736338540965890"
"918441206341922816","251997775"
"918441206341922816","970259667434770437"
"918441206341922816","850759952587268102"
"918441206341922816","4865214225"
"918441206341922816","809734786789113856"
"918441206341922816","705479789692502017"
"918441206341922816","3825410297"
"918441206341922816","4385027728"
"918441206341922816","792780617444450304"
"918441206341922816","719137143596150784"
"918441206341922816","864540233131589633"
"918441206341922816","3312258051"
"918441206341922816","720637661317304320"
"918441206341922816","799301490074591232"
"918441206341922816","120295432"
"918441206341922816","2459761326"
"918441206341922816","961643720302002177"
"918441206341922816","747532152808574976"
"918441206341922816","916316762630746112"
"918441206341922816","2850220499"
"918441206341922816","1151436229"
"918441206341922816","551869542"
"918441206341922816","101817931"
"918441206341922816","4717010667"
"918441206341922816","3149411555"
"918441206341922816","937760145328795650"
"918441206341922816","885131981318762496"
"918441206341922816","512200944"
"918441206341922816","850447350766194688"
"918441206341922816","2966178112"
"918441206341922816","934794570029772800"
"918441206341922816","218887179"
"918441206341922816","960219888"
"918441206341922816","19438626"
"918441206341922816","930758531506163712"
"918441206341922816","930466264727932936"
"918441206341922816","2341888057"
"918441206341922816","769583610420719617"
"918441206341922816","4818825417"
"918441206341922816","3047003014"
"918441206341922816","240142887"
"918441206341922816","1548124531"
"918441206341922816","2160577340"
"918441206341922816","455602715"
"918441206341922816","752930911403044868"
"918441206341922816","405780971"
"918441206341922816","736579507923083264"
"918441206341922816","2233497227"
"918441206341922816","821669440819445761"
"918441206341922816","188411214"
"918441206341922816","701736181717934080"
"918441206341922816","2850383770"
"918441206341922816","95455794"
"918441206341922816","77223972"
"918441206341922816","794315550352691205"
"918441206341922816","60490488"
"918441206341922816","53077778"
"918441206341922816","710188410661695488"
"918441206341922816","1635233568"
"918441206341922816","888831116026802176"
"918441206341922816","764404777501487104"
"918441206341922816","795008423993733120"
"918441206341922816","4251447981"
"918441206341922816","883700734474190850"
"918441206341922816","4635467237"
"918441206341922816","4919880364"
"918441206341922816","472852289"
"918441206341922816","1366614380"
"918441206341922816","322076167"
"918441206341922816","832289897260134400"
"918441206341922816","2395185122"
"918441206341922816","1562811175"
"918441206341922816","724876890255818752"
"918441206341922816","2977837533"
"918441206341922816","4803390839"
"918441206341922816","796739638249529345"
"918441206341922816","840848756287426560"
"918441206341922816","1976143068"
"918441206341922816","776339949893267456"
"918441206341922816","125727024"
"918441206341922816","438305534"
"918441206341922816","317655205"
"918441206341922816","4813171035"
"918441206341922816","575661516"
"918441206341922816","199778669"
"918441206341922816","120120843"
"918441206341922816","1113993006"
"918441206341922816","495014618"
"918441206341922816","4005117185"
"918441206341922816","294099915"
"918441206341922816","312024587"
"918441206341922816","794940385713856512"
"918441206341922816","2784005936"
"918441206341922816","3159857032"
"918441206341922816","495145784"
"918441206341922816","410175771"
"918441206341922816","740533438407712768"
"918441206341922816","4023293259"
"918441206341922816","107358697"
"918441206341922816","91818531"
"918441206341922816","155807176"
"918441206341922816","78944377"
"918441206341922816","86322463"
"918441206341922816","478542962"
"918441206341922816","2226806360"
"918441206341922816","845678702247776258"
"918441206341922816","773882844"
"918441206341922816","3180612999"
"918441206341922816","799262719220285440"
"918441206341922816","494149746"
"918441206341922816","785493242653671426"
"918441206341922816","772199670768689152"
"918441206341922816","34223671"
"918441206341922816","68965245"
"918441206341922816","2248226271"
"918441206341922816","733206538274414593"
"918441206341922816","80850071"
"918441206341922816","4306210457"
"918441206341922816","733415876637163520"
"918441206341922816","778152358807277569"
"918441206341922816","52544275"
"918441206341922816","260788584"
"918441206341922816","726095339581743105"
"918441206341922816","1068943938"
"918441206341922816","822215679726100480"
"918441206341922816","4386200417"
"918441206341922816","3302856073"
"918441206341922816","2955148689"
"918441206341922816","2587662650"
"918441206341922816","574845852"
"918441206341922816","808429363561725952"
"918441206341922816","1612404397"
"918441206341922816","3707834307"
"918441206341922816","2325287336"
"918441206341922816","22614481"
"918441206341922816","273943115"
"918441206341922816","1275069252"
"918441206341922816","80249002"
"918441206341922816","726858841967747073"
"918441206341922816","2453094586"
"918441206341922816","425888432"
"918441206341922816","2923740959"
"918441206341922816","404076921"
"918441206341922816","3642169756"
"918441206341922816","2652055446"
"918441206341922816","4884663951"
"918441206341922816","69255422"
"918441206341922816","742985276495122432"
"918441206341922816","584497676"
"918441206341922816","3347970833"
"918441206341922816","551669623"
"918441206341922816","1861842217"
"918441206341922816","202102772"
"918441206341922816","456777022"
"918441206341922816","3438999112"
"918441206341922816","471672239"
"918441206341922816","22203756"
"918441206341922816","114547606"
"918441206341922816","269809161"
"918441206341922816","360695593"
"918441206341922816","16589206"
"918441206341922816","200187798"
"918441206341922816","1643934410"
"918441206341922816","1349648845"
"918441206341922816","739565857307787264"
"918441206341922816","2148567434"
"918441206341922816","1161856429"
"918441206341922816","770974556542480384"
"918441206341922816","264104087"
"918441206341922816","564658745"
"918441206341922816","581619214"
"918441206341922816","3002797641"
"918441206341922816","1538702761"
"918441206341922816","779373229894926336"
"918441206341922816","717364265825529856"
"918441206341922816","3150901497"
"918441206341922816","2164568108"
"918441206341922816","601249724"
"918441206341922816","3551290175"
"918441206341922816","4838317882"
"918441206341922816","730695757536317440"
"918441206341922816","2592813667"
"918441206341922816","1577995796"
"918441206341922816","3600968122"
"918441206341922816","1131543830"
"918441206341922816","31904265"
"918441206341922816","26222064"
"918441206341922816","727425382169849856"
"918441206341922816","539680075"
"918441206341922816","364513528"
"918441206341922816","68440549"
"918441206341922816","21313364"
"918441206341922816","13353862"
"918441206341922816","69060064"
"918441206341922816","39512482"
"918441206341922816","2649991"
"918441206341922816","34294667"
"918441206341922816","38395124"
"918441206341922816","31444568"
"918441206341922816","58913261"
"918441206341922816","34867057"
"918441206341922816","103821088"
"918441206341922816","133663801"
"918441206341922816","2863432726"
"918441206341922816","749663854406340608"
"918441206341922816","365241641"
"918441206341922816","3901955003"
"918441206341922816","3606563476"
"918441206341922816","716983771413757952"
"918441206341922816","46386171"
"918441206341922816","738566798052872192"
"918441206341922816","744826613670477824"
"918441206341922816","744820706089664512"
"918441206341922816","575204882"
"918441206341922816","3341913083"
"918441206341922816","2149062481"
"918441206341922816","4507234275"
"918441206341922816","2870355976"
"918441206341922816","3890744956"
"918441206341922816","736637327389396993"
"918441206341922816","2437532918"
"918441206341922816","493059743"
"918441206341922816","972862094"
"918441206341922816","2248913330"
"918441206341922816","3504073887"
"918441206341922816","2563818553"
"918441206341922816","758666967620419584"
"918441206341922816","428333"
"918441206341922816","5402612"
"918441206341922816","555044349"
"918441206341922816","453426263"
"918441206341922816","7587032"
"918441206341922816","52459159"
"918441206341922816","1731257143"
"918441206341922816","388805808"
"918441206341922816","703306285580754945"
"918441206341922816","727156278833860608"
"918441206341922816","712597886328942592"
"918441206341922816","3399097331"
"918441206341922816","746752312610271232"
"918441206341922816","1175112324"
"918441206341922816","14700117"
"918441206341922816","4049089480"
"918441206341922816","382101683"
"918441206341922816","19017675"
"918441206341922816","37272303"
"918441206341922816","356902110"
"918441206341922816","2921049381"
"918441206341922816","629308421"
"918441206341922816","1929845012"
"918441206341922816","253503717"
"918441206341922816","740516038303944705"
"918441206341922816","3416056067"
"918441206341922816","1098578904"
"918441206341922816","1071906997"
"918441206341922816","1274803980"
"918441206341922816","722578283183923200"
"918441206341922816","1181759336"
"918441206341922816","2540398603"
"918441206341922816","1947155094"
"918441206341922816","105526749"
"918441206341922816","2790163260"
"918441206341922816","547833665"
"918441206341922816","305655418"
"918441206341922816","2643640528"
"918441206341922816","47951057"
"918441206341922816","319677725"
"918441206341922816","1652541"
"918441206341922816","3415285811"
"918441206341922816","2965826115"
"918441206341922816","921549865"
"918441206341922816","2473486548"
"918441206341922816","813286"
"918441206341922816","822215673812119553"
"918441206341922816","30313925"
"918441206341922816","3366121871"
"918441206341922816","443814957"
"918441206341922816","2273573185"
"918441206341922816","223847367"
"918441206341922816","4899304912"
"918441206341922816","578114675"
"918441206341922816","2951320168"
"918441206341922816","4718446833"
"918441206341922816","2887361529"
"918441206341922816","472043689"
"918441206341922816","1117768854"
"918441206341922816","4749247036"
"918441206341922816","726874476185542656"
"918441206341922816","3141038440"
"918441206341922816","138810824"
"918441206341922816","114699863"
"918441206341922816","4265310143"
"918441206341922816","3957054321"
"918441206341922816","471886242"
"918441206341922816","1274709210"
"918441206341922816","721262035368087553"
"918441206341922816","15823722"
"918441206341922816","611694952"
"918441206341922816","3890968271"
"918441206341922816","3246137973"
"918441206341922816","3806527877"
"918441206341922816","2998173538"
"918441206341922816","573723104"
"918441206341922816","706000000829014017"
"918441206341922816","4782667416"
"918441206341922816","3065992036"
"918441206341922816","3331232931"
"918441206341922816","92849144"
"918441206341922816","4824075647"
"918441206341922816","459232332"
"918441206341922816","1288630368"
